500  390  tensor(78.0500, device='cuda:0')
501  390  tensor(77.6800, device='cuda:0')
0  tensor(97.2700, device='cuda:0')
0  tensor(97.5900, device='cuda:0')
502  390  tensor(75.4800, device='cuda:0')
0  tensor(97.3500, device='cuda:0')
0  tensor(97.4900, device='cuda:0')
503  390  tensor(78.3920, device='cuda:0')
0  tensor(97.3700, device='cuda:0')
0  tensor(97.6500, device='cuda:0')
504  390  tensor(78.2000, device='cuda:0')
0  tensor(97.3400, device='cuda:0')
0  tensor(97.6400, device='cuda:0')
505  390  tensor(79.0060, device='cuda:0')
0  tensor(97.4300, device='cuda:0')
0  tensor(97.6600, device='cuda:0')
506  390  tensor(77.7480, device='cuda:0')
0  tensor(97.0900, device='cuda:0')
0  tensor(97.5900, device='cuda:0')
507  390  tensor(77.4280, device='cuda:0')
0  tensor(97.3500, device='cuda:0')
0  tensor(97.6300, device='cuda:0')
508  390  tensor(78.5100, device='cuda:0')
0  tensor(97.4000, device='cuda:0')
0  tensor(97.6000, device='cuda:0')
509  390  tensor(78.4600, device='cuda:0')
0  tensor(97.3100, device='cuda:0')
0  tensor(97.4800, device='cuda:0')
510  390  tensor(78.3060, device='cuda:0')
0  tensor(97.2200, device='cuda:0')
0  tensor(97.3900, device='cuda:0')
511  390  tensor(76.9860, device='cuda:0')
0  tensor(97.1900, device='cuda:0')
0  tensor(97.6100, device='cuda:0')
512  390  tensor(77.4900, device='cuda:0')
0  tensor(97.3500, device='cuda:0')
0  tensor(97.5800, device='cuda:0')
513  390  tensor(80.5340, device='cuda:0')
0  tensor(97.1500, device='cuda:0')
0  tensor(97.4900, device='cuda:0')
514  390  tensor(79.3300, device='cuda:0')
0  tensor(97.3500, device='cuda:0')
0  tensor(97.7000, device='cuda:0')
515  390  tensor(79.8120, device='cuda:0')
0  tensor(97.4800, device='cuda:0')
0  tensor(97.5400, device='cuda:0')
516  390  tensor(78.5980, device='cuda:0')
0  tensor(97.5700, device='cuda:0')
0  tensor(97.5700, device='cuda:0')
517  390  tensor(77.8140, device='cuda:0')
0  tensor(97.5800, device='cuda:0')
0  tensor(97.5500, device='cuda:0')
518  390  tensor(77.2040, device='cuda:0')
0  tensor(97.2700, device='cuda:0')
0  tensor(97.5300, device='cuda:0')
519  390  tensor(79.6100, device='cuda:0')
0  tensor(97.5000, device='cuda:0')
0  tensor(97.6300, device='cuda:0')
520  390  tensor(80.3340, device='cuda:0')
0  tensor(97.4000, device='cuda:0')
0  tensor(97.6700, device='cuda:0')
521  390  tensor(78.1560, device='cuda:0')
0  tensor(97.3700, device='cuda:0')
0  tensor(97.7400, device='cuda:0')
522  390  tensor(74.6160, device='cuda:0')
0  tensor(97.2800, device='cuda:0')
0  tensor(97.6500, device='cuda:0')
523  390  tensor(79.3000, device='cuda:0')
0  tensor(97.4900, device='cuda:0')
0  tensor(97.5900, device='cuda:0')
524  390  tensor(76.5860, device='cuda:0')
0  tensor(97.3400, device='cuda:0')
0  tensor(97.6900, device='cuda:0')
525  390  tensor(79.3080, device='cuda:0')
0  tensor(97.2800, device='cuda:0')
0  tensor(97.6700, device='cuda:0')
526  390  tensor(77.8080, device='cuda:0')
0  tensor(97.5900, device='cuda:0')
0  tensor(97.6600, device='cuda:0')
527  390  tensor(77.6960, device='cuda:0')
0  tensor(97.3100, device='cuda:0')
0  tensor(97.7100, device='cuda:0')
528  390  tensor(75.4140, device='cuda:0')
0  tensor(97.5300, device='cuda:0')
0  tensor(97.7700, device='cuda:0')
529  390  tensor(76.9020, device='cuda:0')
0  tensor(97.2500, device='cuda:0')
0  tensor(97.7200, device='cuda:0')
530  390  tensor(76.3420, device='cuda:0')
0  tensor(97.5100, device='cuda:0')
0  tensor(97.7200, device='cuda:0')
531  390  tensor(80.5480, device='cuda:0')
0  tensor(97.4300, device='cuda:0')
0  tensor(97.5600, device='cuda:0')
532  390  tensor(77.7220, device='cuda:0')
0  tensor(97.5000, device='cuda:0')
0  tensor(97.5100, device='cuda:0')
533  390  tensor(78.1020, device='cuda:0')
0  tensor(97.3500, device='cuda:0')
0  tensor(97.5800, device='cuda:0')
534  390  tensor(78.2120, device='cuda:0')
0  tensor(97.3600, device='cuda:0')
0  tensor(97.7500, device='cuda:0')
535  390  tensor(78.8140, device='cuda:0')
0  tensor(97.3400, device='cuda:0')
0  tensor(97.7300, device='cuda:0')
536  390  tensor(76.2160, device='cuda:0')
0  tensor(97.5200, device='cuda:0')
0  tensor(97.6000, device='cuda:0')
537  390  tensor(77.4160, device='cuda:0')
0  tensor(97.5300, device='cuda:0')
0  tensor(97.7800, device='cuda:0')
538  390  tensor(79.2240, device='cuda:0')
0  tensor(97.3300, device='cuda:0')
0  tensor(97.7200, device='cuda:0')
539  390  tensor(78.2320, device='cuda:0')
0  tensor(97.4900, device='cuda:0')
0  tensor(97.7400, device='cuda:0')
540  390  tensor(77.8720, device='cuda:0')
0  tensor(97.4200, device='cuda:0')
0  tensor(97.7700, device='cuda:0')
541  390  tensor(78.0040, device='cuda:0')
0  tensor(97.2700, device='cuda:0')
0  tensor(97.6800, device='cuda:0')
542  390  tensor(76.5520, device='cuda:0')
0  tensor(97.2700, device='cuda:0')
0  tensor(97.6900, device='cuda:0')
543  390  tensor(78.4160, device='cuda:0')
0  tensor(97.4400, device='cuda:0')
0  tensor(97.7200, device='cuda:0')
544  390  tensor(76.8880, device='cuda:0')
0  tensor(97.3300, device='cuda:0')
0  tensor(97.6700, device='cuda:0')
545  390  tensor(75.5660, device='cuda:0')
0  tensor(97.3900, device='cuda:0')
0  tensor(97.6700, device='cuda:0')
546  390  tensor(76.3660, device='cuda:0')
0  tensor(97.6300, device='cuda:0')
0  tensor(97.8300, device='cuda:0')
547  390  tensor(77.5040, device='cuda:0')
0  tensor(97.5600, device='cuda:0')
0  tensor(97.8100, device='cuda:0')
548  390  tensor(76.6140, device='cuda:0')
0  tensor(97.3900, device='cuda:0')
0  tensor(97.6900, device='cuda:0')
