473  468  tensor(76.8017, device='cuda:0')
474  468  tensor(77.6217, device='cuda:0')
475  468  tensor(80.0250, device='cuda:0')
476  468  tensor(80.1933, device='cuda:0')
477  468  tensor(80.8550, device='cuda:0')
478  468  tensor(80.6600, device='cuda:0')
479  468  tensor(80.5700, device='cuda:0')
480  468  tensor(81.7100, device='cuda:0')
481  468  tensor(79.2450, device='cuda:0')
482  468  tensor(77.1067, device='cuda:0')
483  468  tensor(80.2433, device='cuda:0')
484  468  tensor(79.4550, device='cuda:0')
485  468  tensor(78.8567, device='cuda:0')
486  468  tensor(80.6267, device='cuda:0')
487  468  tensor(76.3900, device='cuda:0')
488  468  tensor(76.7200, device='cuda:0')
489  468  tensor(83.3767, device='cuda:0')
490  468  tensor(81.0100, device='cuda:0')
491  468  tensor(78.8533, device='cuda:0')
492  468  tensor(78.3600, device='cuda:0')
493  468  tensor(78.8050, device='cuda:0')
494  468  tensor(78.4067, device='cuda:0')
495  468  tensor(79.6933, device='cuda:0')
496  468  tensor(80.0833, device='cuda:0')
497  468  tensor(79.9983, device='cuda:0')
498  468  tensor(79.0033, device='cuda:0')
499  468  tensor(80.5550, device='cuda:0')
500  468  tensor(80.6000, device='cuda:0')
501  468  tensor(80.5167, device='cuda:0')
0  tensor(95.8500, device='cuda:0')
0  tensor(96.4000, device='cuda:0')
502  468  tensor(78.2383, device='cuda:0')
0  tensor(96.1900, device='cuda:0')
0  tensor(96.4200, device='cuda:0')
503  468  tensor(79.8083, device='cuda:0')
0  tensor(96.0500, device='cuda:0')
0  tensor(96.4000, device='cuda:0')
504  468  tensor(78.0833, device='cuda:0')
0  tensor(95.9000, device='cuda:0')
0  tensor(96.4700, device='cuda:0')
505  468  tensor(77.4283, device='cuda:0')
0  tensor(96.1500, device='cuda:0')
0  tensor(96.3800, device='cuda:0')
506  468  tensor(80.0467, device='cuda:0')
0  tensor(96.1400, device='cuda:0')
0  tensor(96.4800, device='cuda:0')
507  468  tensor(78.2650, device='cuda:0')
0  tensor(96.0700, device='cuda:0')
0  tensor(96.4800, device='cuda:0')
0  tensor(96.4800, device='cuda:0')
508  468  tensor(80.1133, device='cuda:0')
0  tensor(96.0400, device='cuda:0')
0  tensor(96.5400, device='cuda:0')
509  468  tensor(79.4583, device='cuda:0')
0  tensor(96.2200, device='cuda:0')
0  tensor(96.4700, device='cuda:0')
510  468  tensor(78.1467, device='cuda:0')
0  tensor(96.1500, device='cuda:0')
0  tensor(96.3100, device='cuda:0')
511  468  tensor(81.5200, device='cuda:0')
0  tensor(96.2300, device='cuda:0')
0  tensor(96.5300, device='cuda:0')
512  468  tensor(77.5667, device='cuda:0')
0  tensor(96.2000, device='cuda:0')
0  tensor(96.4900, device='cuda:0')
513  468  tensor(80.3200, device='cuda:0')
0  tensor(95.9500, device='cuda:0')
0  tensor(96.3900, device='cuda:0')
514  468  tensor(81.1800, device='cuda:0')
0  tensor(95.9200, device='cuda:0')
0  tensor(96.5400, device='cuda:0')
515  468  tensor(78.9317, device='cuda:0')
0  tensor(96.1900, device='cuda:0')
0  tensor(96.5200, device='cuda:0')
516  468  tensor(80.1100, device='cuda:0')
0  tensor(96.1600, device='cuda:0')
0  tensor(96.4700, device='cuda:0')
517  468  tensor(80.9733, device='cuda:0')
