353  234  lr 0.07319291921653463  tensor(79.3733, device='cuda:0')
354  234  lr 0.07305223871934656  tensor(78.5567, device='cuda:0')
355  234  lr 0.07291132608637052  tensor(78.8500, device='cuda:0')
356  234  lr 0.07277018273659516  tensor(78.3883, device='cuda:0')
357  234  lr 0.07262881009133242  tensor(81.6367, device='cuda:0')
358  234  lr 0.07248720957420329  tensor(74.8983, device='cuda:0')
359  234  lr 0.07234538261112342  tensor(77.1050, device='cuda:0')
360  234  lr 0.0722033306302887  tensor(79.4700, device='cuda:0')
361  234  lr 0.07206105506216107  tensor(79.3400, device='cuda:0')
362  234  lr 0.07191855733945388  tensor(78.8150, device='cuda:0')
363  234  lr 0.07177583889711762  tensor(83.9583, device='cuda:0')
364  234  lr 0.07163290117232542  tensor(82.0567, device='cuda:0')
365  234  lr 0.07148974560445859  tensor(80.1783, device='cuda:0')
366  234  lr 0.0713463736350921  tensor(77.3800, device='cuda:0')
367  234  lr 0.0712027867079801  tensor(79.5767, device='cuda:0')
368  234  lr 0.07105898626904134  tensor(80.4317, device='cuda:0')
369  234  lr 0.07091497376634463  tensor(77.9267, device='cuda:0')
370  234  lr 0.07077075065009433  tensor(79.9467, device='cuda:0')
371  234  lr 0.07062631837261556  tensor(78.7867, device='cuda:0')
372  234  lr 0.07048167838833977  tensor(76.8500, device='cuda:0')
373  234  lr 0.07033683215379002  tensor(79.4533, device='cuda:0')
374  234  lr 0.07019178112756624  tensor(78.1267, device='cuda:0')
375  234  lr 0.07004652677033069  tensor(79.7133, device='cuda:0')
376  234  lr 0.06990107054479312  tensor(76.5033, device='cuda:0')
377  234  lr 0.0697554139156961  tensor(82.5417, device='cuda:0')
378  234  lr 0.06960955834980027  tensor(78.9000, device='cuda:0')
379  234  lr 0.06946350531586958  tensor(80.9783, device='cuda:0')
380  234  lr 0.06931725628465643  tensor(78.7550, device='cuda:0')
381  234  lr 0.06917081272888696  tensor(76.7967, device='cuda:0')
382  234  lr 0.06902417612324616  tensor(81.1267, device='cuda:0')
383  234  lr 0.068877347944363  tensor(78.3433, device='cuda:0')
